SNo,Year,State_UT,City,Road_Classification,Mode_of_Transport,Total_Accidents,Persons_Injured,Persons_Killed,Accident_Cause,Time_of_Accident,Road_Condition,Light_Condition,Weather_Condition,Injury_Severity,Junction_Type,Source
1215,2019,Telangana,Hyderabad,Other Roads,Auto-Rickshaw,7289,15935,1036,Tyre Burst,06:00-09:00,Wet,Daylight,Misty,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1216,2019,Bihar,Patna,National Highway,Auto-Rickshaw,5115,10366,1447,Fatigue/Sleep,15:00-18:00,Dry,Daylight,Rainy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1217,2020,Bihar,Bhagalpur,State Highway,Truck/Lorry,9008,19527,2569,Poor Weather Visibility,15:00-18:00,Under Repair,Dusk/Dawn,Cloudy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1218,2022,Jammu & Kashmir,Jammu,National Highway,Truck/Lorry,9761,18189,847,Vehicle Defect,12:00-15:00,Potholed,Dark - No Street Light,Clear,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1219,2022,Karnataka,Mysuru,State Highway,Bus,2091,2332,329,Improper Lane Changing,06:00-09:00,Flooded,Dark - No Street Light,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1220,2021,Rajasthan,Jodhpur,Other Roads,Bicycle,9361,23257,999,Drunk Driving,21:00-24:00,Potholed,Dusk/Dawn,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1221,2022,Tripura,Tripura,Expressway,Bicycle,595,495,92,Drunk Driving,21:00-24:00,Dry,Dark - No Street Light,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1222,2022,Karnataka,Hubli,Other Roads,Truck/Lorry,6740,16131,1211,Wrong Side Driving,21:00-24:00,Potholed,Dark - Street Light On,Clear,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1223,2020,Meghalaya,Meghalaya,City Roads,Pedestrian,7677,13955,513,Use of Mobile Phone,12:00-15:00,Dry,Dark - No Street Light,Clear,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1224,2019,Manipur,Manipur,Other Roads,Auto-Rickshaw,5498,6925,1598,Improper Lane Changing,18:00-21:00,Potholed,Dark - No Street Light,Cloudy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1225,2020,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Expressway,Auto-Rickshaw,8984,20803,2512,Over Speeding,06:00-09:00,Potholed,Daylight,Foggy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1226,2021,Tripura,Tripura,National Highway,Bicycle,9769,13078,2684,Poor Weather Visibility,12:00-15:00,Flooded,Dark - No Street Light,Clear,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1227,2022,Rajasthan,Udaipur,Expressway,Bus,7440,9533,1776,Jumping Red Light,09:00-12:00,Wet,Dark - No Street Light,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1228,2019,Arunachal Pradesh,Arunachal Pradesh,Expressway,Truck/Lorry,11827,13333,1015,Vehicle Defect,21:00-24:00,Wet,Dusk/Dawn,Rainy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1229,2023,West Bengal,Durgapur,Expressway,Bicycle,8519,8424,2542,Bad Road Condition,21:00-24:00,Wet,Daylight,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1230,2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,State Highway,Truck/Lorry,2159,4730,675,Drunk Driving,00:00-06:00,Dry,Dark - No Street Light,Clear,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1231,2019,Madhya Pradesh,Indore,National Highway,Pedestrian,6056,13021,408,Fatigue/Sleep,09:00-12:00,Potholed,Daylight,Clear,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1232,2023,Manipur,Manipur,Expressway,Truck/Lorry,10307,12644,2422,Vehicle Defect,12:00-15:00,Flooded,Dark - No Street Light,Foggy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1233,2023,Lakshadweep,Lakshadweep,Other Roads,Others,9624,11875,1016,Fatigue/Sleep,06:00-09:00,Flooded,Dusk/Dawn,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1234,2022,Himachal Pradesh,Himachal Pradesh,City Roads,Two-Wheeler,11410,12693,1949,Fatigue/Sleep,12:00-15:00,Under Repair,Daylight,Clear,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1235,2019,Ladakh,Ladakh,Other Roads,Bicycle,7590,13847,2408,Improper Lane Changing,00:00-06:00,Flooded,Dark - No Street Light,Rainy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1236,2019,Goa,Goa,Expressway,Auto-Rickshaw,10132,19090,3345,Tyre Burst,18:00-21:00,Flooded,Daylight,Clear,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1237,2021,Gujarat,Ahmedabad,State Highway,Car/Jeep/Taxi,5861,10504,1603,Tyre Burst,15:00-18:00,Wet,Daylight,Cloudy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1238,2019,Haryana,Rohtak,City Roads,Pedestrian,6209,8205,1592,Jumping Red Light,06:00-09:00,Dry,Dark - No Street Light,Misty,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1239,2019,Lakshadweep,Lakshadweep,State Highway,Pedestrian,1843,4577,392,Vehicle Defect,00:00-06:00,Potholed,Daylight,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1240,2019,Goa,Goa,Other Roads,Bicycle,7864,9083,2533,Improper Lane Changing,00:00-06:00,Wet,Dusk/Dawn,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1241,2021,Kerala,Kochi,National Highway,Truck/Lorry,3091,4472,805,Bad Road Condition,12:00-15:00,Under Repair,Dark - No Street Light,Rainy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1242,2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,National Highway,Others,10740,9490,1215,Vehicle Defect,06:00-09:00,Wet,Dark - No Street Light,Rainy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1243,2019,Chandigarh,Chandigarh,National Highway,Pedestrian,11438,17698,889,Bad Road Condition,15:00-18:00,Under Repair,Dark - Street Light On,Misty,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1244,2023,Arunachal Pradesh,Arunachal Pradesh,National Highway,Bus,5022,6069,1432,Tyre Burst,15:00-18:00,Potholed,Dark - Street Light On,Misty,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1245,2019,Jammu & Kashmir,Jammu,National Highway,Two-Wheeler,8058,7875,1759,Fatigue/Sleep,12:00-15:00,Under Repair,Dark - No Street Light,Foggy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1246,2023,Jammu & Kashmir,Srinagar,National Highway,Bus,7897,8600,484,Wrong Side Driving,15:00-18:00,Under Repair,Daylight,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1247,2022,West Bengal,Howrah,National Highway,Two-Wheeler,4854,10755,971,Tyre Burst,06:00-09:00,Flooded,Dusk/Dawn,Foggy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1248,2023,Ladakh,Ladakh,Other Roads,Truck/Lorry,733,681,135,Tyre Burst,09:00-12:00,Potholed,Daylight,Cloudy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1249,2021,Andhra Pradesh,Tirupati,Expressway,Two-Wheeler,1743,3588,478,Fatigue/Sleep,15:00-18:00,Flooded,Dusk/Dawn,Cloudy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1250,2023,Tripura,Tripura,City Roads,Car/Jeep/Taxi,11367,24053,2260,Drunk Driving,06:00-09:00,Under Repair,Daylight,Rainy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1251,2021,Chandigarh,Chandigarh,Expressway,Car/Jeep/Taxi,2536,2963,847,Improper Lane Changing,21:00-24:00,Wet,Dusk/Dawn,Cloudy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1252,2020,Puducherry,Puducherry,Expressway,Others,1197,2046,62,Fatigue/Sleep,09:00-12:00,Under Repair,Dark - No Street Light,Cloudy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1253,2022,Tamil Nadu,Madurai,Other Roads,Auto-Rickshaw,1084,1795,272,Wrong Side Driving,18:00-21:00,Potholed,Dusk/Dawn,Clear,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1254,2022,Chandigarh,Chandigarh,National Highway,Others,1614,1376,386,Bad Road Condition,21:00-24:00,Wet,Dark - Street Light On,Foggy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1255,2020,Nagaland,Nagaland,City Roads,Car/Jeep/Taxi,4456,6774,817,Poor Weather Visibility,18:00-21:00,Wet,Dusk/Dawn,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1256,2019,Maharashtra,Mumbai,Other Roads,Others,8153,18678,1316,Improper Lane Changing,06:00-09:00,Potholed,Dark - Street Light On,Rainy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1257,2019,Mizoram,Mizoram,Other Roads,Truck/Lorry,6504,10046,1610,Drunk Driving,00:00-06:00,Wet,Dark - No Street Light,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1258,2019,Telangana,Hyderabad,Expressway,Bicycle,8080,13778,2395,Poor Weather Visibility,00:00-06:00,Potholed,Dark - No Street Light,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1259,2020,Karnataka,Hubli,National Highway,Truck/Lorry,3726,7410,398,Vehicle Defect,15:00-18:00,Potholed,Dusk/Dawn,Clear,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1260,2023,Tamil Nadu,Salem,National Highway,Auto-Rickshaw,11766,23990,931,Tyre Burst,21:00-24:00,Potholed,Daylight,Foggy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1261,2022,Uttar Pradesh,Allahabad,Other Roads,Pedestrian,11345,21908,3309,Vehicle Defect,00:00-06:00,Dry,Dark - No Street Light,Foggy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1262,2023,Uttarakhand,Uttarakhand,City Roads,Bus,6331,13255,2044,Tyre Burst,12:00-15:00,Flooded,Dark - Street Light On,Rainy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1263,2019,Daman & Diu,Daman & Diu,State Highway,Two-Wheeler,7449,12641,1920,Poor Weather Visibility,00:00-06:00,Flooded,Dark - Street Light On,Clear,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1264,2023,Ladakh,Ladakh,National Highway,Truck/Lorry,1261,1442,340,Wrong Side Driving,09:00-12:00,Flooded,Daylight,Foggy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1265,2022,Himachal Pradesh,Himachal Pradesh,Other Roads,Two-Wheeler,2168,2189,640,Poor Weather Visibility,18:00-21:00,Potholed,Dark - Street Light On,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1266,2021,Andhra Pradesh,Tirupati,City Roads,Others,4794,7289,1120,Over Speeding,15:00-18:00,Wet,Dark - Street Light On,Foggy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1267,2023,Puducherry,Puducherry,State Highway,Bicycle,4766,5309,1371,Bad Road Condition,15:00-18:00,Under Repair,Dark - No Street Light,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1268,2021,Nagaland,Nagaland,City Roads,Two-Wheeler,5194,4194,697,Use of Mobile Phone,15:00-18:00,Dry,Dusk/Dawn,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1269,2019,Jammu & Kashmir,Jammu,National Highway,Pedestrian,10196,19744,3207,Poor Weather Visibility,18:00-21:00,Potholed,Dark - Street Light On,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1270,2019,West Bengal,Asansol,National Highway,Bicycle,7284,6377,813,Jumping Red Light,18:00-21:00,Flooded,Daylight,Foggy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1271,2023,Tamil Nadu,Coimbatore,Expressway,Auto-Rickshaw,299,672,88,Poor Weather Visibility,21:00-24:00,Flooded,Dusk/Dawn,Foggy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1272,2021,Odisha,Cuttack,National Highway,Truck/Lorry,11128,25425,3728,Fatigue/Sleep,15:00-18:00,Dry,Dusk/Dawn,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1273,2023,Manipur,Manipur,National Highway,Truck/Lorry,9535,11947,2929,Over Speeding,09:00-12:00,Under Repair,Dark - No Street Light,Misty,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1274,2021,Gujarat,Rajkot,City Roads,Car/Jeep/Taxi,5642,14041,1161,Fatigue/Sleep,21:00-24:00,Flooded,Dusk/Dawn,Foggy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1275,2019,Odisha,Rourkela,National Highway,Pedestrian,9490,17204,2052,Improper Lane Changing,00:00-06:00,Flooded,Dark - No Street Light,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1276,2022,Himachal Pradesh,Himachal Pradesh,Other Roads,Truck/Lorry,5535,13665,1315,Poor Weather Visibility,18:00-21:00,Flooded,Dusk/Dawn,Rainy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1277,2019,Karnataka,Mangaluru,Expressway,Car/Jeep/Taxi,7901,8611,2363,Fatigue/Sleep,06:00-09:00,Potholed,Dusk/Dawn,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1278,2020,Manipur,Manipur,State Highway,Two-Wheeler,7374,6073,924,Use of Mobile Phone,18:00-21:00,Dry,Daylight,Misty,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1279,2019,Kerala,Thrissur,State Highway,Auto-Rickshaw,4591,7190,1016,Fatigue/Sleep,18:00-21:00,Wet,Daylight,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1280,2023,Nagaland,Nagaland,City Roads,Others,3597,3032,1056,Vehicle Defect,21:00-24:00,Dry,Daylight,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1281,2022,Bihar,Gaya,Other Roads,Two-Wheeler,756,1476,73,Over Speeding,09:00-12:00,Potholed,Dark - No Street Light,Foggy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1282,2023,Puducherry,Puducherry,Expressway,Bicycle,8733,20191,1434,Bad Road Condition,09:00-12:00,Flooded,Daylight,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1283,2021,Mizoram,Mizoram,City Roads,Auto-Rickshaw,927,1447,229,Over Speeding,09:00-12:00,Under Repair,Daylight,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1284,2020,Uttar Pradesh,Kanpur,National Highway,Truck/Lorry,967,1340,239,Wrong Side Driving,21:00-24:00,Flooded,Daylight,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1285,2020,Sikkim,Sikkim,Other Roads,Others,9944,13364,2410,Poor Weather Visibility,18:00-21:00,Potholed,Dark - Street Light On,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1286,2023,Ladakh,Ladakh,Other Roads,Car/Jeep/Taxi,9252,12335,2813,Improper Lane Changing,12:00-15:00,Dry,Daylight,Cloudy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1287,2021,Kerala,Kozhikode,Expressway,Truck/Lorry,1686,2378,503,Vehicle Defect,21:00-24:00,Wet,Dusk/Dawn,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1288,2020,Haryana,Faridabad,Other Roads,Auto-Rickshaw,11342,19138,2136,Poor Weather Visibility,00:00-06:00,Dry,Daylight,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1289,2020,Maharashtra,Pune,State Highway,Two-Wheeler,3800,6194,799,Use of Mobile Phone,06:00-09:00,Dry,Dusk/Dawn,Cloudy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1290,2022,Maharashtra,Pune,National Highway,Bicycle,2888,2709,478,Tyre Burst,00:00-06:00,Dry,Dark - No Street Light,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1291,2019,Uttar Pradesh,Allahabad,City Roads,Bus,10492,8763,3604,Use of Mobile Phone,18:00-21:00,Wet,Dark - Street Light On,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1292,2021,Andhra Pradesh,Visakhapatnam,National Highway,Auto-Rickshaw,10981,13857,1017,Wrong Side Driving,09:00-12:00,Wet,Dark - No Street Light,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1293,2020,Kerala,Kochi,National Highway,Auto-Rickshaw,3660,8742,787,Over Speeding,06:00-09:00,Under Repair,Dusk/Dawn,Rainy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1294,2020,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Other Roads,Auto-Rickshaw,4160,6537,1132,Bad Road Condition,06:00-09:00,Under Repair,Dark - No Street Light,Foggy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1295,2023,Karnataka,Bengaluru,Other Roads,Auto-Rickshaw,3468,7104,1138,Use of Mobile Phone,00:00-06:00,Under Repair,Dark - No Street Light,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1296,2022,Puducherry,Puducherry,City Roads,Bus,10617,15689,3698,Wrong Side Driving,00:00-06:00,Flooded,Dark - No Street Light,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1297,2019,Chhattisgarh,Raipur,City Roads,Auto-Rickshaw,10462,12510,837,Bad Road Condition,18:00-21:00,Flooded,Daylight,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1298,2021,Bihar,Patna,Expressway,Car/Jeep/Taxi,1530,2920,467,Over Speeding,09:00-12:00,Flooded,Daylight,Rainy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1299,2019,Goa,Goa,Other Roads,Car/Jeep/Taxi,778,1908,258,Wrong Side Driving,12:00-15:00,Potholed,Dark - Street Light On,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1300,2021,Nagaland,Nagaland,City Roads,Car/Jeep/Taxi,8705,12225,1875,Poor Weather Visibility,15:00-18:00,Flooded,Dark - No Street Light,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1301,2020,Arunachal Pradesh,Arunachal Pradesh,State Highway,Car/Jeep/Taxi,9690,23230,3086,Use of Mobile Phone,00:00-06:00,Under Repair,Dusk/Dawn,Rainy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1302,2023,Haryana,Faridabad,Expressway,Auto-Rickshaw,3560,5142,227,Vehicle Defect,00:00-06:00,Dry,Dark - No Street Light,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1303,2021,Madhya Pradesh,Bhopal,City Roads,Bicycle,9408,10098,1788,Improper Lane Changing,21:00-24:00,Potholed,Daylight,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1304,2021,Punjab,Ludhiana,National Highway,Pedestrian,11633,18096,3599,Poor Weather Visibility,06:00-09:00,Under Repair,Dusk/Dawn,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1305,2023,Bihar,Patna,City Roads,Bus,7381,15866,1557,Bad Road Condition,06:00-09:00,Wet,Dark - Street Light On,Cloudy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1306,2021,Nagaland,Nagaland,Other Roads,Truck/Lorry,3230,8062,186,Vehicle Defect,00:00-06:00,Wet,Dark - Street Light On,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1307,2022,Karnataka,Mangaluru,Expressway,Car/Jeep/Taxi,11949,20924,650,Use of Mobile Phone,06:00-09:00,Wet,Dark - No Street Light,Clear,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1308,2023,Jharkhand,Jharkhand,Other Roads,Two-Wheeler,730,937,37,Wrong Side Driving,18:00-21:00,Under Repair,Dark - Street Light On,Foggy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1309,2021,Mizoram,Mizoram,Expressway,Auto-Rickshaw,8654,10740,1263,Vehicle Defect,09:00-12:00,Flooded,Dark - No Street Light,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1310,2019,Daman & Diu,Daman & Diu,Other Roads,Pedestrian,254,353,29,Poor Weather Visibility,00:00-06:00,Dry,Dark - No Street Light,Cloudy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1311,2022,Haryana,Faridabad,City Roads,Auto-Rickshaw,8890,16700,2541,Over Speeding,15:00-18:00,Dry,Daylight,Cloudy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1312,2021,Daman & Diu,Daman & Diu,Other Roads,Others,2030,1766,139,Use of Mobile Phone,09:00-12:00,Potholed,Daylight,Misty,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1313,2019,Uttar Pradesh,Lucknow,City Roads,Pedestrian,9504,16005,1453,Fatigue/Sleep,00:00-06:00,Flooded,Dark - No Street Light,Misty,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1314,2020,Odisha,Cuttack,City Roads,Pedestrian,9346,14647,2774,Over Speeding,06:00-09:00,Potholed,Dark - No Street Light,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1315,2019,Ladakh,Ladakh,City Roads,Two-Wheeler,4282,5080,286,Wrong Side Driving,15:00-18:00,Dry,Daylight,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1316,2019,Karnataka,Mysuru,National Highway,Pedestrian,8810,15248,665,Use of Mobile Phone,18:00-21:00,Under Repair,Dusk/Dawn,Cloudy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1317,2020,Punjab,Ludhiana,National Highway,Truck/Lorry,3247,7900,387,Over Speeding,12:00-15:00,Flooded,Dark - No Street Light,Misty,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1318,2019,Telangana,Hyderabad,Other Roads,Bicycle,357,786,28,Improper Lane Changing,00:00-06:00,Potholed,Dark - No Street Light,Rainy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1319,2020,Uttar Pradesh,Lucknow,Expressway,Bicycle,9320,18787,611,Use of Mobile Phone,06:00-09:00,Under Repair,Dark - Street Light On,Clear,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1320,2020,Tripura,Tripura,City Roads,Bus,1570,3048,101,Fatigue/Sleep,06:00-09:00,Wet,Dusk/Dawn,Foggy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1321,2023,Maharashtra,Nashik,City Roads,Truck/Lorry,1424,2134,489,Use of Mobile Phone,09:00-12:00,Dry,Dusk/Dawn,Foggy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1322,2020,Punjab,Amritsar,Other Roads,Bus,6875,6507,1530,Wrong Side Driving,06:00-09:00,Dry,Dusk/Dawn,Foggy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
1323,2019,West Bengal,Asansol,National Highway,Two-Wheeler,10767,10019,1346,Vehicle Defect,06:00-09:00,Flooded,Dark - Street Light On,Rainy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1324,2021,Daman & Diu,Daman & Diu,National Highway,Two-Wheeler,3021,2484,779,Vehicle Defect,09:00-12:00,Dry,Dark - Street Light On,Foggy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1325,2020,Kerala,Kozhikode,Expressway,Auto-Rickshaw,7265,16645,2179,Improper Lane Changing,15:00-18:00,Potholed,Dark - No Street Light,Misty,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1326,2020,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Expressway,Bicycle,10238,18637,1481,Jumping Red Light,00:00-06:00,Flooded,Daylight,Clear,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1327,2020,Kerala,Kochi,City Roads,Two-Wheeler,1329,3064,205,Drunk Driving,06:00-09:00,Potholed,Dusk/Dawn,Clear,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1328,2023,Gujarat,Ahmedabad,Other Roads,Bus,9176,19425,780,Improper Lane Changing,15:00-18:00,Flooded,Dark - No Street Light,Cloudy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1329,2019,Telangana,Hyderabad,Other Roads,Two-Wheeler,2679,6174,790,Wrong Side Driving,15:00-18:00,Wet,Daylight,Rainy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1330,2021,Puducherry,Puducherry,City Roads,Two-Wheeler,8052,9938,1912,Poor Weather Visibility,15:00-18:00,Potholed,Daylight,Misty,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1331,2023,Jammu & Kashmir,Jammu,National Highway,Truck/Lorry,5992,6449,864,Fatigue/Sleep,12:00-15:00,Dry,Daylight,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
1332,2019,Jammu & Kashmir,Jammu,City Roads,Others,8018,10253,601,Tyre Burst,18:00-21:00,Dry,Dark - Street Light On,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
1333,2021,Bihar,Patna,State Highway,Others,1438,1604,175,Jumping Red Light,00:00-06:00,Dry,Dusk/Dawn,Clear,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1334,2022,Meghalaya,Meghalaya,Other Roads,Truck/Lorry,1016,1605,120,Fatigue/Sleep,15:00-18:00,Flooded,Daylight,Foggy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
1335,2021,Sikkim,Sikkim,City Roads,Pedestrian,2025,1795,358,Over Speeding,12:00-15:00,Potholed,Dark - No Street Light,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
1336,2021,Uttar Pradesh,Lucknow,City Roads,Two-Wheeler,991,1855,242,Fatigue/Sleep,21:00-24:00,Flooded,Daylight,Cloudy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
1337,2021,Jammu & Kashmir,Jammu,National Highway,Bicycle,11127,19772,3801,Wrong Side Driving,12:00-15:00,Wet,Dark - Street Light On,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
